,Start Interval,End Interval,MAPE,RMSE,R2,MAE
0,17530.843999999997,20181.864799999996,16.950344821516342,3711.9000470848255,-34.944171492952606,3260.2398791301543
1,20181.864799999996,22832.885599999994,24.33816352772427,5588.636524375397,-46.208339234958785,5224.604497244484
2,22832.885599999994,25483.906399999993,31.7918698724801,8101.214124292316,-110.68344831774074,7720.455604184
3,25483.906399999993,28134.92719999999,39.722627945590624,10943.853144546752,-230.34265509518954,10647.805565333065
4,28134.92719999999,30785.94799999999,46.44863876213154,13902.223450120284,-331.2213235272671,13709.950490597015
5,30785.94799999999,33436.96879999999,48.01839655510111,15509.324722184612,-419.9474440728985,15359.709639295772
6,33436.96879999999,36087.989599999986,47.5499850889753,16695.626219270765,-495.15145471011306,16455.977704587156
7,36087.989599999986,38739.010399999985,52.08773558890377,19588.89546339026,-741.3510633011745,19365.92250739535
8,38739.010399999985,41390.03119999998,54.38985753657034,21934.0362963336,-649.7055786010438,21638.777142105264
9,41390.03119999998,44041.05199999998,64.85276245603542,27720.864336634964,-892.1232403688109,27600.342320000003
